"id","batting_order","game_pk","fullName"
660670,"1",718780,"Ronald Acuña Jr."
621566,"2",718780,"Matt Olson"
663586,"3",718780,"Austin Riley"
645277,"4",718780,"Ozzie Albies"
669221,"5",718780,"Sean Murphy"
542303,"6",718780,"Marcell Ozuna"
671739,"7",718780,"Michael Harris II"
518595,"8",718780,"Travis d'Arnaud"
606115,"9",718780,"Orlando Arcia"
657041,"1",718780,"Lane Thomas"
608841,"2",718780,"Joey Meneses"
600869,"3",718780,"Jeimer Candelario"
642086,"4",718780,"Dominic Smith"
660688,"5",718780,"Keibert Ruiz"
669743,"6",718780,"Alex Call"
671277,"7",718780,"Luis García Jr."
645302,"8",718780,"Victor Robles"
682928,"9",718780,"CJ Abrams"
664774,"1",718781,"LaMonte Wade Jr."
624424,"2",718781,"Michael Conforto"
527038,"3",718781,"Wilmer Flores"
592626,"4",718781,"Joc Pederson"
573262,"5",718781,"Mike Yastrzemski"
642731,"6",718781,"Thairo Estrada"
543063,"7",718781,"Brandon Crawford"
666165,"8",718781,"Blake Sabol"
547379,"9",718781,"Roberto Pérez"
518934,"1",718781,"DJ LeMahieu"
592450,"2",718781,"Aaron Judge"
519203,"3",718781,"Anthony Rizzo"
519317,"4",718781,"Giancarlo Stanton"
518626,"5",718781,"Josh Donaldson"
650402,"6",718781,"Gleyber Torres"
665828,"7",718781,"Oswaldo Cabrera"
624431,"8",718781,"Jose Trevino"
683011,"9",718781,"Anthony Volpe"
656775,"1",718782,"Cedric Mullins"
668939,"2",718782,"Adley Rutschman"
623993,"3",718782,"Anthony Santander"
663624,"4",718782,"Ryan Mountcastle"
683002,"5",718782,"Gunnar Henderson"
602104,"6",718782,"Ramón Urías"
669720,"7",718782,"Austin Hays"
624428,"8",718782,"Adam Frazier"
622761,"9",718782,"Jorge Mateo"
657077,"1",718782,"Alex Verdugo"
646240,"2",718782,"Rafael Devers"
457759,"3",718782,"Justin Turner"
807799,"4",718782,"Masataka Yoshida"
594807,"5",718782,"Adam Duvall"
671213,"6",718782,"Triston Casas"
624414,"7",718782,"Christian Arroyo"
624512,"8",718782,"Reese McGuire"
571771,"9",718782,"Enrique Hernández"
592885,"1",718777,"Christian Yelich"
608385,"2",718777,"Jesse Winker"
642715,"3",718777,"Willy Adames"
642133,"4",718777,"Rowdy Tellez"
661388,"5",718777,"William Contreras"
649966,"6",718777,"Luis Urías"
669003,"7",718777,"Garrett Mitchell"
605119,"8",718777,"Brian Anderson"
668930,"9",718777,"Brice Turang"
663538,"1",718777,"Nico Hoerner"
621020,"2",718777,"Dansby Swanson"
664023,"3",718777,"Ian Happ"
641355,"4",718777,"Cody Bellinger"
641820,"5",718777,"Trey Mancini"
543228,"6",718777,"Yan Gomes"
543333,"7",718777,"Eric Hosmer"
621550,"8",718777,"Patrick Wisdom"
670156,"9",718777,"Miles Mastrobuoni"
